sample,type,setting
Ara-3_31500gen_ZDB564,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode06_73f328a7_0d270851.fastq.gz
Ara-3_32000gen_ZDB172,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode07_73f328a7_0d270851.fastq.gz
Ara-3_32500gen_ZDB143,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode10_73f328a7_0d270851.fastq.gz
Ara-3_33000gen_CZB152,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode08_73f328a7_0d270851.fastq.gz
Ara-3_33000gen_CZB154,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode09_73f328a7_0d270851.fastq.gz
Ara-3_33000gen_CZB199,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode02_73f328a7_0d270851.fastq.gz
Ara-3_40000gen_10979,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode05_73f328a7_0d270851.fastq.gz
Ara-3_40000gen_10988,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode03_73f328a7_0d270851.fastq.gz
Ara-3_50000gen_11364,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-02-09_MinION_FAY54223/fastq/FAY54223_barcode20.fastq.gz
Ara-3_50000gen_11364,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-04-03_MinION_FAX92353/fastq/FAX92353_barcode11.fastq.gz
Ara-3_50000gen_11365,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode13.fastq.gz
